id,video_id,buffering_bitrate_audio,buffering_bitrate_video,buffering_state,buffering_vmaf,duration,framerate,player_state,playing_bitrate_video,playing_bitrate_audio,playing_vmaf,position,rendering_state,resolution,segment_position,timestamp,total_corrupted_frames,total_dropped_frames,total_frames,volume
1,1,96,3203,Normal,96,3504.834,23.976,Normal,3203,96,96,78.001,Waiting for decoder,1920x1080,78.001,2023-02-06T14:16:45.331,0,0,0,64
2,1,96,3203,Normal,96,3504.834,23.976,Normal,3203,96,96,78.001,Waiting for decoder,1920x1080,78.001,2023-02-06T14:16:46.332,0,0,0,64
3,1,96,3203,Normal,96,3504.834,23.976,Normal,3203,96,96,78.302,Playing,1920x1080,78.302,2023-02-06T14:16:47.330,0,0,108,64
4,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,0.721,Playing,480x270,0.721,2023-02-06T14:16:48.333,0,0,133,64
5,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,1.515,Playing,480x270,1.515,2023-02-06T14:16:49.333,0,0,157,64
6,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,2.579,Playing,480x270,2.579,2023-02-06T14:16:50.333,0,0,181,64
7,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,3.640,Playing,480x270,3.640,2023-02-06T14:16:51.333,0,0,205,64
8,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,4.705,Playing,480x270,4.705,2023-02-06T14:16:52.333,0,0,229,64
9,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,5.765,Playing,480x270,5.765,2023-02-06T14:16:53.333,0,0,253,64
10,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,6.565,Playing,480x270,6.565,2023-02-06T14:16:54.332,0,0,277,64
11,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,7.623,Playing,480x270,7.623,2023-02-06T14:16:55.333,0,0,301,64
12,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,8.686,Playing,480x270,8.686,2023-02-06T14:16:56.330,0,0,325,64
13,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,9.748,Playing,480x270,9.748,2023-02-06T14:16:57.332,0,0,349,64
14,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,10.546,Playing,480x270,10.546,2023-02-06T14:16:58.330,0,0,373,64
15,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,11.607,Playing,480x270,11.607,2023-02-06T14:16:59.332,0,0,397,64
16,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,12.673,Playing,480x270,12.673,2023-02-06T14:17:00.331,0,0,422,64
17,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,13.732,Playing,480x270,13.732,2023-02-06T14:17:01.332,0,0,446,64
18,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,14.797,Playing,480x270,14.797,2023-02-06T14:17:02.332,0,0,470,64
19,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,15.593,Playing,480x270,15.593,2023-02-06T14:17:03.333,0,0,494,64
20,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,16.657,Playing,480x270,16.657,2023-02-06T14:17:04.333,0,0,518,64
21,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,17.721,Playing,480x270,17.721,2023-02-06T14:17:05.333,0,0,542,64
22,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,18.782,Playing,480x270,18.782,2023-02-06T14:17:06.333,0,0,566,64
23,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,19.578,Playing,480x270,19.578,2023-02-06T14:17:07.333,0,0,590,64
24,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,20.639,Playing,480x270,20.639,2023-02-06T14:17:08.333,0,0,614,64
25,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,21.706,Playing,480x270,21.706,2023-02-06T14:17:09.333,0,0,638,64
26,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,22.765,Playing,480x270,22.765,2023-02-06T14:17:10.333,0,0,663,64
27,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,23.827,Playing,480x270,23.827,2023-02-06T14:17:11.333,0,0,687,64
28,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,24.625,Playing,480x270,24.625,2023-02-06T14:17:12.333,0,0,711,64
29,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,25.686,Playing,480x270,25.686,2023-02-06T14:17:13.331,0,0,735,64
30,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,26.748,Playing,480x270,26.748,2023-02-06T14:17:14.333,0,0,759,64
31,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,27.815,Playing,480x270,27.815,2023-02-06T14:17:15.333,0,0,783,64
32,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,28.876,Playing,480x270,28.876,2023-02-06T14:17:16.333,0,0,807,64
33,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,29.670,Playing,480x270,29.670,2023-02-06T14:17:17.333,0,0,832,64
34,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,30.736,Playing,480x270,30.736,2023-02-06T14:17:18.332,0,0,856,64
35,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,31.796,Playing,480x270,31.796,2023-02-06T14:17:19.333,0,0,880,64
36,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,32.857,Playing,480x270,32.857,2023-02-06T14:17:20.333,0,0,904,64
37,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,33.654,Playing,480x270,33.654,2023-02-06T14:17:21.331,0,0,928,64
38,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,34.718,Playing,480x270,34.718,2023-02-06T14:17:22.333,0,0,952,64
39,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,35.782,Playing,480x270,35.782,2023-02-06T14:17:23.332,0,0,976,64
40,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,36.842,Playing,480x270,36.842,2023-02-06T14:17:24.332,0,0,1000,64
41,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,37.906,Playing,480x270,37.906,2023-02-06T14:17:25.333,0,0,1025,64
42,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,38.705,Playing,480x270,38.705,2023-02-06T14:17:26.333,0,0,1049,64
43,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,39.766,Playing,480x270,39.766,2023-02-06T14:17:27.333,0,0,1073,64
44,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,40.827,Playing,480x270,40.827,2023-02-06T14:17:28.333,0,0,1097,64
45,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,41.893,Playing,480x270,41.893,2023-02-06T14:17:29.333,0,0,1121,64
46,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,42.954,Playing,480x270,42.954,2023-02-06T14:17:30.331,0,0,1145,64
47,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,43.748,Playing,480x270,43.748,2023-02-06T14:17:31.333,0,0,1170,64
48,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,44.815,Playing,480x270,44.815,2023-02-06T14:17:32.333,0,0,1194,64
49,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,45.878,Playing,480x270,45.878,2023-02-06T14:17:33.333,0,0,1218,64
50,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,46.936,Playing,480x270,46.936,2023-02-06T14:17:34.332,0,0,1242,64
51,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,47.998,Playing,480x270,47.998,2023-02-06T14:17:35.332,0,0,1266,64
52,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,48.798,Playing,480x270,48.798,2023-02-06T14:17:36.332,0,0,1290,64
53,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,49.861,Playing,480x270,49.861,2023-02-06T14:17:37.332,0,0,1314,64
54,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,50.924,Playing,480x270,50.924,2023-02-06T14:17:38.332,0,0,1339,64
55,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,51.982,Playing,480x270,51.982,2023-02-06T14:17:39.333,0,0,1363,64
56,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,53.048,Playing,480x270,53.048,2023-02-06T14:17:40.333,0,0,1387,64
57,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,53.843,Playing,480x270,53.843,2023-02-06T14:17:41.333,0,0,1411,64
58,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,54.908,Playing,480x270,54.908,2023-02-06T14:17:42.333,0,0,1435,64
59,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,55.969,Playing,480x270,55.969,2023-02-06T14:17:43.333,0,0,1459,64
60,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,57.032,Playing,480x270,57.032,2023-02-06T14:17:44.330,0,0,1484,64
61,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,58.096,Playing,480x270,58.096,2023-02-06T14:17:45.333,0,0,1508,64
62,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,58.889,Playing,480x270,58.889,2023-02-06T14:17:46.329,0,0,1532,64
63,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,60.084,Playing,480x270,60.084,2023-02-06T14:17:47.330,0,0,1556,64
64,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,61.017,Playing,480x270,61.017,2023-02-06T14:17:48.332,0,0,1580,64
65,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,62.078,Playing,480x270,62.078,2023-02-06T14:17:49.332,0,0,1604,64
66,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,63.140,Playing,480x270,63.140,2023-02-06T14:17:50.332,0,0,1629,64
67,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,63.937,Playing,480x270,63.937,2023-02-06T14:17:51.332,0,0,1653,64
68,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,64.999,Playing,480x270,64.999,2023-02-06T14:17:52.328,0,0,1677,64
69,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,66.063,Playing,480x270,66.063,2023-02-06T14:17:53.332,0,0,1701,64
70,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,67.127,Playing,480x270,67.127,2023-02-06T14:17:54.332,0,0,1726,64
71,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,68.185,Playing,480x270,68.185,2023-02-06T14:17:55.332,0,0,1750,64
72,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,68.986,Playing,480x270,68.986,2023-02-06T14:17:56.332,0,0,1774,64
73,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,70.046,Playing,480x270,70.046,2023-02-06T14:17:57.332,0,0,1798,64
74,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,71.112,Playing,480x270,71.112,2023-02-06T14:17:58.333,0,0,1822,64
75,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,72.173,Playing,480x270,72.173,2023-02-06T14:17:59.332,0,0,1846,64
76,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,72.971,Playing,480x270,72.971,2023-02-06T14:18:00.333,0,0,1871,64
77,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,74.032,Playing,480x270,74.032,2023-02-06T14:18:01.338,0,0,1895,64
78,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,75.092,Playing,480x270,75.092,2023-02-06T14:18:02.332,0,0,1919,64
79,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,76.158,Playing,480x270,76.158,2023-02-06T14:18:03.332,0,0,1943,64
80,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,77.218,Playing,480x270,77.218,2023-02-06T14:18:04.328,0,0,1967,64
81,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,78.017,Playing,480x270,78.017,2023-02-06T14:18:05.332,0,0,1991,64
82,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,79.080,Playing,480x270,79.080,2023-02-06T14:18:06.332,0,0,2015,64
83,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,80.143,Playing,480x270,80.143,2023-02-06T14:18:07.330,0,0,2039,64
84,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,81.202,Playing,480x270,81.202,2023-02-06T14:18:08.332,0,0,2063,64
85,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,82.266,Playing,480x270,82.266,2023-02-06T14:18:09.332,0,0,2088,64
86,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,83.066,Playing,480x270,83.066,2023-02-06T14:18:10.332,0,0,2112,64
87,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,84.239,Playing,480x270,84.239,2023-02-06T14:18:11.331,0,0,2136,64
88,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,85.189,Playing,480x270,85.189,2023-02-06T14:18:12.332,0,0,2160,64
89,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,86.249,Playing,480x270,86.249,2023-02-06T14:18:13.338,0,0,2184,64
90,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,87.315,Playing,480x270,87.315,2023-02-06T14:18:14.332,0,0,2208,64
91,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,88.111,Playing,480x270,88.111,2023-02-06T14:18:15.332,0,0,2232,64
92,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,89.171,Playing,480x270,89.171,2023-02-06T14:18:16.332,0,0,2256,64
93,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,90.232,Playing,480x270,90.232,2023-02-06T14:18:17.333,0,0,2281,64
94,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,91.298,Playing,480x270,91.298,2023-02-06T14:18:18.332,0,0,2305,64
95,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,92.212,Playing,480x270,92.212,2023-02-06T14:18:19.332,0,0,2329,64
96,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,93.158,Playing,480x270,93.158,2023-02-06T14:18:20.332,0,0,2353,64
97,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,94.220,Playing,480x270,94.220,2023-02-06T14:18:21.333,0,0,2377,64
98,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,95.282,Playing,480x270,95.282,2023-02-06T14:18:22.328,0,0,2401,64
99,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,96.341,Playing,480x270,96.341,2023-02-06T14:18:23.329,0,0,2426,64
